run_id,storage_backend,arm,status,throughput_median,throughput_min,throughput_max,kv_bytes_total
01-resident,native,resident,complete,1250.668190355598,1249.0798193096575,1252.243630269515,35883319296
02-partial-fixed-kv,expert-cache,partial-fixed-kv,failed,,,,35883319296
