record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,75.04065717500634,complete
repetition,,0,generated_tokens,512,complete
repetition,,0,sample_tokens_s,6.822967965298296,complete
repetition,,1,elapsed_s,74.41420580004342,complete
repetition,,1,generated_tokens,512,complete
repetition,,1,sample_tokens_s,6.880406697825716,complete
repetition,,2,elapsed_s,74.63643749698531,complete
repetition,,2,generated_tokens,512,complete
repetition,,2,sample_tokens_s,6.859920129771474,complete
local-pool,0,0,resident_hits,121258,instrumented
local-pool,0,0,cache_hits,1412,instrumented
local-pool,0,0,unique_misses,210,instrumented
local-pool,0,0,unique_demands,122880,instrumented
local-pool,0,0,first_loads,0,instrumented
local-pool,0,0,reloads,210,instrumented
local-pool,0,0,loaded_bytes,330301440,instrumented
local-pool,0,0,metadata_bytes,25167320,instrumented
local-pool,0,0,promotion_bytes,294125568,instrumented
local-pool,0,0,evictions,187,instrumented
local-pool,0,0,bypasses,23,instrumented
local-pool,0,0,load_s,0.42057052786089477,instrumented
local-pool,0,0,payload_s,0.13261289606429635,instrumented
local-pool,0,0,metadata_s,0.2879576323046349,instrumented
local-pool,0,0,compute_s,5.069546945273876,instrumented
local-pool,0,0,promotion_s,0.1330599999213591,instrumented
local-pool,0,0,span_s,5.623177471458912,instrumented
local-pool,0,0,route_d2h_s,1.5412008974235505,instrumented
local-pool,0,0,policy_cpu_s,0.2747644109185785,instrumented
local-pool,0,0,host_reuse_wait_s,0.052504911669529974,instrumented
local-pool,0,0,host_gather_s,12.020613019587472,instrumented
local-pool,0,0,h2d_enqueue_s,0.6300051459111273,instrumented
local-pool,0,0,compute_enqueue_s,5.081333649228327,instrumented
histogram,0,0,batch=1;layer=0;expert=0,0,instrumented
histogram,0,0,batch=1;layer=0;expert=1,7,instrumented
histogram,0,0,batch=1;layer=0;expert=2,1,instrumented
histogram,0,0,batch=1;layer=0;expert=3,4,instrumented
histogram,0,0,batch=1;layer=0;expert=4,3,instrumented
histogram,0,0,batch=1;layer=0;expert=5,10,instrumented
histogram,0,0,batch=1;layer=0;expert=6,3,instrumented
histogram,0,0,batch=1;layer=0;expert=7,12,instrumented
histogram,0,0,batch=1;layer=0;expert=8,2,instrumented
histogram,0,0,batch=1;layer=0;expert=9,0,instrumented
histogram,0,0,batch=1;layer=0;expert=10,3,instrumented
histogram,0,0,batch=1;layer=0;expert=11,5,instrumented
histogram,0,0,batch=1;layer=0;expert=12,9,instrumented
histogram,0,0,batch=1;layer=0;expert=13,1,instrumented
histogram,0,0,batch=1;layer=0;expert=14,0,instrumented
histogram,0,0,batch=1;layer=0;expert=15,4,instrumented
histogram,0,0,batch=1;layer=0;expert=16,0,instrumented
histogram,0,0,batch=1;layer=0;expert=17,8,instrumented
histogram,0,0,batch=1;layer=0;expert=18,1,instrumented
histogram,0,0,batch=1;layer=0;expert=19,3,instrumented
histogram,0,0,batch=1;layer=0;expert=20,15,instrumented
histogram,0,0,batch=1;layer=0;expert=21,4,instrumented
histogram,0,0,batch=1;layer=0;expert=22,9,instrumented
histogram,0,0,batch=1;layer=0;expert=23,4,instrumented
histogram,0,0,batch=1;layer=0;expert=24,3,instrumented
histogram,0,0,batch=1;layer=0;expert=25,0,instrumented
histogram,0,0,batch=1;layer=0;expert=26,4,instrumented
histogram,0,0,batch=1;layer=0;expert=27,2,instrumented
histogram,0,0,batch=1;layer=0;expert=28,7,instrumented
histogram,0,0,batch=1;layer=0;expert=29,15,instrumented
histogram,0,0,batch=1;layer=0;expert=30,1,instrumented
histogram,0,0,batch=1;layer=0;expert=31,11,instrumented
histogram,0,0,batch=1;layer=0;expert=32,10,instrumented
histogram,0,0,batch=1;layer=0;expert=33,0,instrumented
histogram,0,0,batch=1;layer=0;expert=34,2,instrumented
histogram,0,0,batch=1;layer=0;expert=35,8,instrumented
histogram,0,0,batch=1;layer=0;expert=36,2,instrumented
histogram,0,0,batch=1;layer=0;expert=37,4,instrumented
histogram,0,0,batch=1;layer=0;expert=38,10,instrumented
histogram,0,0,batch=1;layer=0;expert=39,6,instrumented
histogram,0,0,batch=1;layer=0;expert=40,6,instrumented
histogram,0,0,batch=1;layer=0;expert=41,0,instrumented
histogram,0,0,batch=1;layer=0;expert=42,11,instrumented
histogram,0,0,batch=1;layer=0;expert=43,8,instrumented
histogram,0,0,batch=1;layer=0;expert=44,5,instrumented
histogram,0,0,batch=1;layer=0;expert=45,6,instrumented
histogram,0,0,batch=1;layer=0;expert=46,0,instrumented
histogram,0,0,batch=1;layer=0;expert=47,1,instrumented
histogram,0,0,batch=1;layer=0;expert=48,2,instrumented
histogram,0,0,batch=1;layer=0;expert=49,8,instrumented
histogram,0,0,batch=1;layer=0;expert=50,10,instrumented
histogram,0,0,batch=1;layer=0;expert=51,5,instrumented
histogram,0,0,batch=1;layer=0;expert=52,2,instrumented
histogram,0,0,batch=1;layer=0;expert=53,8,instrumented
histogram,0,0,batch=1;layer=0;expert=54,15,instrumented
histogram,0,0,batch=1;layer=0;expert=55,5,instrumented
histogram,0,0,batch=1;layer=0;expert=56,8,instrumented
histogram,0,0,batch=1;layer=0;expert=57,0,instrumented
histogram,0,0,batch=1;layer=0;expert=58,13,instrumented
histogram,0,0,batch=1;layer=0;expert=59,0,instrumented
histogram,0,0,batch=1;layer=0;expert=60,4,instrumented
histogram,0,0,batch=1;layer=0;expert=61,0,instrumented
histogram,0,0,batch=1;layer=0;expert=62,3,instrumented
histogram,0,0,batch=1;layer=0;expert=63,1,instrumented
