record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,129.29761883208994,complete
repetition,,0,generated_tokens,51200,complete
repetition,,0,sample_tokens_s,395.98563734178254,complete
repetition,,1,elapsed_s,123.55691506201401,complete
repetition,,1,generated_tokens,51200,complete
repetition,,1,sample_tokens_s,414.3839296594803,complete
repetition,,2,elapsed_s,126.81020954798441,complete
repetition,,2,generated_tokens,51200,complete
repetition,,2,sample_tokens_s,403.7529800045488,complete
local-pool,0,0,resident_hits,4254448,instrumented
local-pool,0,0,cache_hits,72641,instrumented
local-pool,0,0,unique_misses,70252,instrumented
local-pool,0,0,unique_demands,4397341,instrumented
local-pool,0,0,first_loads,1,instrumented
local-pool,0,0,reloads,70251,instrumented
local-pool,0,0,loaded_bytes,110496841728,instrumented
local-pool,0,0,metadata_bytes,25187880,instrumented
local-pool,0,0,promotion_bytes,4336386048,instrumented
local-pool,0,0,evictions,2757,instrumented
local-pool,0,0,bypasses,67495,instrumented
local-pool,0,0,load_s,2.777726975277066,instrumented
local-pool,0,0,payload_s,2.6805838727913796,instrumented
local-pool,0,0,metadata_s,0.09714310375321657,instrumented
local-pool,0,0,compute_s,4.750345250025392,instrumented
local-pool,0,0,promotion_s,0.06405011206073687,instrumented
local-pool,0,0,span_s,7.5921223316192625,instrumented
local-pool,0,0,route_d2h_s,3.491949546150863,instrumented
local-pool,0,0,policy_cpu_s,5.1462766762124375,instrumented
local-pool,0,0,host_reuse_wait_s,0.06557051208801568,instrumented
local-pool,0,0,host_gather_s,25.429490716778673,instrumented
local-pool,0,0,h2d_enqueue_s,1.2609504737192765,instrumented
local-pool,0,0,compute_enqueue_s,5.587849744595587,instrumented
histogram,0,0,batch=100;layer=0;expert=0,516,instrumented
histogram,0,0,batch=100;layer=0;expert=1,283,instrumented
histogram,0,0,batch=100;layer=0;expert=2,321,instrumented
histogram,0,0,batch=100;layer=0;expert=3,346,instrumented
histogram,0,0,batch=100;layer=0;expert=4,608,instrumented
histogram,0,0,batch=100;layer=0;expert=5,848,instrumented
histogram,0,0,batch=100;layer=0;expert=6,667,instrumented
histogram,0,0,batch=100;layer=0;expert=7,879,instrumented
histogram,0,0,batch=100;layer=0;expert=8,263,instrumented
histogram,0,0,batch=100;layer=0;expert=9,2,instrumented
histogram,0,0,batch=100;layer=0;expert=10,295,instrumented
histogram,0,0,batch=100;layer=0;expert=11,451,instrumented
histogram,0,0,batch=100;layer=0;expert=12,628,instrumented
histogram,0,0,batch=100;layer=0;expert=13,344,instrumented
histogram,0,0,batch=100;layer=0;expert=14,498,instrumented
histogram,0,0,batch=100;layer=0;expert=15,629,instrumented
histogram,0,0,batch=100;layer=0;expert=16,141,instrumented
histogram,0,0,batch=100;layer=0;expert=17,873,instrumented
histogram,0,0,batch=100;layer=0;expert=18,417,instrumented
histogram,0,0,batch=100;layer=0;expert=19,292,instrumented
histogram,0,0,batch=100;layer=0;expert=20,785,instrumented
histogram,0,0,batch=100;layer=0;expert=21,628,instrumented
histogram,0,0,batch=100;layer=0;expert=22,630,instrumented
histogram,0,0,batch=100;layer=0;expert=23,518,instrumented
histogram,0,0,batch=100;layer=0;expert=24,171,instrumented
histogram,0,0,batch=100;layer=0;expert=25,87,instrumented
histogram,0,0,batch=100;layer=0;expert=26,399,instrumented
histogram,0,0,batch=100;layer=0;expert=27,319,instrumented
histogram,0,0,batch=100;layer=0;expert=28,528,instrumented
histogram,0,0,batch=100;layer=0;expert=29,980,instrumented
histogram,0,0,batch=100;layer=0;expert=30,615,instrumented
histogram,0,0,batch=100;layer=0;expert=31,513,instrumented
histogram,0,0,batch=100;layer=0;expert=32,550,instrumented
histogram,0,0,batch=100;layer=0;expert=33,90,instrumented
histogram,0,0,batch=100;layer=0;expert=34,394,instrumented
histogram,0,0,batch=100;layer=0;expert=35,705,instrumented
histogram,0,0,batch=100;layer=0;expert=36,581,instrumented
histogram,0,0,batch=100;layer=0;expert=37,695,instrumented
histogram,0,0,batch=100;layer=0;expert=38,751,instrumented
histogram,0,0,batch=100;layer=0;expert=39,531,instrumented
histogram,0,0,batch=100;layer=0;expert=40,683,instrumented
histogram,0,0,batch=100;layer=0;expert=41,570,instrumented
histogram,0,0,batch=100;layer=0;expert=42,489,instrumented
histogram,0,0,batch=100;layer=0;expert=43,537,instrumented
histogram,0,0,batch=100;layer=0;expert=44,728,instrumented
histogram,0,0,batch=100;layer=0;expert=45,553,instrumented
histogram,0,0,batch=100;layer=0;expert=46,286,instrumented
histogram,0,0,batch=100;layer=0;expert=47,164,instrumented
histogram,0,0,batch=100;layer=0;expert=48,288,instrumented
histogram,0,0,batch=100;layer=0;expert=49,1126,instrumented
histogram,0,0,batch=100;layer=0;expert=50,583,instrumented
histogram,0,0,batch=100;layer=0;expert=51,282,instrumented
histogram,0,0,batch=100;layer=0;expert=52,880,instrumented
histogram,0,0,batch=100;layer=0;expert=53,864,instrumented
histogram,0,0,batch=100;layer=0;expert=54,725,instrumented
histogram,0,0,batch=100;layer=0;expert=55,691,instrumented
