record_index,metric,value
1,memory[3].torch_allocated_bytes,74010250752
1,memory[3].torch_peak_allocated_bytes,74729128448
1,memory[3].torch_peak_reserved_bytes,75537317888
1,memory[3].torch_reserved_bytes,75537317888
1,memory[3].total_gpu_bytes,85017493504
1,output_tokens_per_second,2916.0353857434457
1,repetition,1
1,request_count,512
1,timing_eligible,True
1,artifact_kind,analysis-repetition
2,record_index,2
2,elapsed_s,89.96918665803969
2,generated_tokens,262144
2,memory[0].free_gpu_bytes,3412131840
2,memory[0].kv_cache_accounting_consistent,True
2,memory[0].kv_cache_allocated_bytes,33924710400
2,memory[0].kv_cache_declared_bytes,33924710400
2,memory[0].num_gpu_blocks,10150
2,memory[0].rank,0
2,memory[0].torch_allocated_bytes,74010250752
2,memory[0].torch_peak_allocated_bytes,74729128448
2,memory[0].torch_peak_reserved_bytes,75537317888
2,memory[0].torch_reserved_bytes,75537317888
2,memory[0].total_gpu_bytes,85017493504
2,memory[1].free_gpu_bytes,3410034688
2,memory[1].kv_cache_accounting_consistent,True
2,memory[1].kv_cache_allocated_bytes,33924710400
2,memory[1].kv_cache_declared_bytes,33924710400
2,memory[1].num_gpu_blocks,10150
2,memory[1].rank,1
2,memory[1].torch_allocated_bytes,74010250752
2,memory[1].torch_peak_allocated_bytes,74729128448
2,memory[1].torch_peak_reserved_bytes,75537317888
2,memory[1].torch_reserved_bytes,75537317888
2,memory[1].total_gpu_bytes,85017493504
2,memory[2].free_gpu_bytes,3412131840
2,memory[2].kv_cache_accounting_consistent,True
2,memory[2].kv_cache_allocated_bytes,33924710400
2,memory[2].kv_cache_declared_bytes,33924710400
2,memory[2].num_gpu_blocks,10150
2,memory[2].rank,2
2,memory[2].torch_allocated_bytes,74010250752
2,memory[2].torch_peak_allocated_bytes,74729128448
2,memory[2].torch_peak_reserved_bytes,75537317888
2,memory[2].torch_reserved_bytes,75537317888
2,memory[2].total_gpu_bytes,85017493504
2,memory[3].free_gpu_bytes,3412131840
2,memory[3].kv_cache_accounting_consistent,True
2,memory[3].kv_cache_allocated_bytes,33924710400
2,memory[3].kv_cache_declared_bytes,33924710400
2,memory[3].num_gpu_blocks,10150
2,memory[3].rank,3
2,memory[3].torch_allocated_bytes,74010250752
2,memory[3].torch_peak_allocated_bytes,74729128448
2,memory[3].torch_peak_reserved_bytes,75537317888
2,memory[3].torch_reserved_bytes,75537317888
2,memory[3].total_gpu_bytes,85017493504
2,output_tokens_per_second,2913.7086789099553
2,repetition,2
2,request_count,512
2,timing_eligible,True
2,artifact_kind,analysis-repetition
3,record_index,3
3,elapsed_s,14.867260031867772
3,generated_tokens,8
3,input_sha256,f9ef3113fd157e161e0b373cbc8d824dfc6f5beb54b87dbda290a8ad54e69419
3,output_tokens_per_second,0.5380951152298479
3,request_count,1
3,timing_eligible,True
3,artifact_kind,analysis-smoke
4,record_index,4
4,status,unreadable
4,artifact_kind,unknown
