record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,40.8494644590246,complete
repetition,,0,generated_tokens,8192,complete
repetition,,0,sample_tokens_s,200.54118477409307,complete
repetition,,1,elapsed_s,40.325727356015705,complete
repetition,,1,generated_tokens,8192,complete
repetition,,1,sample_tokens_s,203.14574682502126,complete
repetition,,2,elapsed_s,40.24433218702325,complete
repetition,,2,generated_tokens,8192,complete
repetition,,2,sample_tokens_s,203.55661418184755,complete
local-pool,0,0,resident_hits,,instrumented
local-pool,0,0,cache_hits,,instrumented
local-pool,0,0,unique_misses,,instrumented
local-pool,0,0,unique_demands,,instrumented
local-pool,0,0,first_loads,,instrumented
local-pool,0,0,reloads,,instrumented
local-pool,0,0,loaded_bytes,,instrumented
local-pool,0,0,metadata_bytes,,instrumented
local-pool,0,0,promotion_bytes,,instrumented
local-pool,0,0,evictions,,instrumented
local-pool,0,0,bypasses,,instrumented
local-pool,0,0,load_s,,instrumented
local-pool,0,0,payload_s,,instrumented
local-pool,0,0,metadata_s,,instrumented
local-pool,0,0,compute_s,,instrumented
local-pool,0,0,promotion_s,,instrumented
local-pool,0,0,span_s,,instrumented
local-pool,0,0,route_d2h_s,,instrumented
local-pool,0,0,policy_cpu_s,,instrumented
local-pool,0,0,host_reuse_wait_s,,instrumented
local-pool,0,0,host_gather_s,,instrumented
local-pool,0,0,h2d_enqueue_s,,instrumented
local-pool,0,0,compute_enqueue_s,,instrumented
histogram,0,0,batch=16;layer=0;expert=0,53,instrumented
histogram,0,0,batch=16;layer=0;expert=1,26,instrumented
histogram,0,0,batch=16;layer=0;expert=2,22,instrumented
histogram,0,0,batch=16;layer=0;expert=3,103,instrumented
histogram,0,0,batch=16;layer=0;expert=4,136,instrumented
histogram,0,0,batch=16;layer=0;expert=5,173,instrumented
histogram,0,0,batch=16;layer=0;expert=6,98,instrumented
histogram,0,0,batch=16;layer=0;expert=7,210,instrumented
histogram,0,0,batch=16;layer=0;expert=8,33,instrumented
histogram,0,0,batch=16;layer=0;expert=9,0,instrumented
histogram,0,0,batch=16;layer=0;expert=10,36,instrumented
histogram,0,0,batch=16;layer=0;expert=11,75,instrumented
histogram,0,0,batch=16;layer=0;expert=12,91,instrumented
histogram,0,0,batch=16;layer=0;expert=13,62,instrumented
histogram,0,0,batch=16;layer=0;expert=14,34,instrumented
histogram,0,0,batch=16;layer=0;expert=15,69,instrumented
histogram,0,0,batch=16;layer=0;expert=16,25,instrumented
histogram,0,0,batch=16;layer=0;expert=17,114,instrumented
histogram,0,0,batch=16;layer=0;expert=18,41,instrumented
histogram,0,0,batch=16;layer=0;expert=19,21,instrumented
histogram,0,0,batch=16;layer=0;expert=20,160,instrumented
histogram,0,0,batch=16;layer=0;expert=21,60,instrumented
histogram,0,0,batch=16;layer=0;expert=22,107,instrumented
histogram,0,0,batch=16;layer=0;expert=23,83,instrumented
histogram,0,0,batch=16;layer=0;expert=24,24,instrumented
histogram,0,0,batch=16;layer=0;expert=25,13,instrumented
histogram,0,0,batch=16;layer=0;expert=26,82,instrumented
histogram,0,0,batch=16;layer=0;expert=27,39,instrumented
histogram,0,0,batch=16;layer=0;expert=28,79,instrumented
histogram,0,0,batch=16;layer=0;expert=29,187,instrumented
histogram,0,0,batch=16;layer=0;expert=30,95,instrumented
histogram,0,0,batch=16;layer=0;expert=31,84,instrumented
histogram,0,0,batch=16;layer=0;expert=32,78,instrumented
histogram,0,0,batch=16;layer=0;expert=33,7,instrumented
histogram,0,0,batch=16;layer=0;expert=34,65,instrumented
histogram,0,0,batch=16;layer=0;expert=35,111,instrumented
histogram,0,0,batch=16;layer=0;expert=36,37,instrumented
histogram,0,0,batch=16;layer=0;expert=37,65,instrumented
histogram,0,0,batch=16;layer=0;expert=38,202,instrumented
histogram,0,0,batch=16;layer=0;expert=39,77,instrumented
histogram,0,0,batch=16;layer=0;expert=40,124,instrumented
histogram,0,0,batch=16;layer=0;expert=41,41,instrumented
histogram,0,0,batch=16;layer=0;expert=42,70,instrumented
histogram,0,0,batch=16;layer=0;expert=43,81,instrumented
histogram,0,0,batch=16;layer=0;expert=44,101,instrumented
histogram,0,0,batch=16;layer=0;expert=45,99,instrumented
histogram,0,0,batch=16;layer=0;expert=46,24,instrumented
histogram,0,0,batch=16;layer=0;expert=47,19,instrumented
histogram,0,0,batch=16;layer=0;expert=48,54,instrumented
histogram,0,0,batch=16;layer=0;expert=49,174,instrumented
histogram,0,0,batch=16;layer=0;expert=50,86,instrumented
histogram,0,0,batch=16;layer=0;expert=51,47,instrumented
histogram,0,0,batch=16;layer=0;expert=52,113,instrumented
histogram,0,0,batch=16;layer=0;expert=53,164,instrumented
histogram,0,0,batch=16;layer=0;expert=54,148,instrumented
histogram,0,0,batch=16;layer=0;expert=55,78,instrumented
histogram,0,0,batch=16;layer=0;expert=56,131,instrumented
histogram,0,0,batch=16;layer=0;expert=57,3,instrumented
histogram,0,0,batch=16;layer=0;expert=58,158,instrumented
histogram,0,0,batch=16;layer=0;expert=59,39,instrumented
histogram,0,0,batch=16;layer=0;expert=60,59,instrumented
histogram,0,0,batch=16;layer=0;expert=61,31,instrumented
histogram,0,0,batch=16;layer=0;expert=62,29,instrumented
histogram,0,0,batch=16;layer=0;expert=63,40,instrumented
histogram,0,0,batch=16;layer=0;expert=64,57,instrumented
histogram,0,0,batch=16;layer=0;expert=65,149,instrumented
histogram,0,0,batch=16;layer=0;expert=66,98,instrumented
histogram,0,0,batch=16;layer=0;expert=67,39,instrumented
histogram,0,0,batch=16;layer=0;expert=68,100,instrumented
histogram,0,0,batch=16;layer=0;expert=69,7,instrumented
histogram,0,0,batch=16;layer=0;expert=70,68,instrumented
histogram,0,0,batch=16;layer=0;expert=71,18,instrumented
histogram,0,0,batch=16;layer=0;expert=72,237,instrumented
histogram,0,0,batch=16;layer=0;expert=73,46,instrumented
histogram,0,0,batch=16;layer=0;expert=74,196,instrumented
histogram,0,0,batch=16;layer=0;expert=75,80,instrumented
histogram,0,0,batch=16;layer=0;expert=76,100,instrumented
histogram,0,0,batch=16;layer=0;expert=77,289,instrumented
histogram,0,0,batch=16;layer=0;expert=78,0,instrumented
histogram,0,0,batch=16;layer=0;expert=79,0,instrumented
histogram,0,0,batch=16;layer=0;expert=80,114,instrumented
histogram,0,0,batch=16;layer=0;expert=81,11,instrumented
histogram,0,0,batch=16;layer=0;expert=82,65,instrumented
histogram,0,0,batch=16;layer=0;expert=83,71,instrumented
histogram,0,0,batch=16;layer=0;expert=84,105,instrumented
histogram,0,0,batch=16;layer=0;expert=85,3,instrumented
histogram,0,0,batch=16;layer=0;expert=86,28,instrumented
histogram,0,0,batch=16;layer=0;expert=87,22,instrumented
histogram,0,0,batch=16;layer=0;expert=88,52,instrumented
histogram,0,0,batch=16;layer=0;expert=89,175,instrumented
histogram,0,0,batch=16;layer=0;expert=90,171,instrumented
histogram,0,0,batch=16;layer=0;expert=91,36,instrumented
histogram,0,0,batch=16;layer=0;expert=92,147,instrumented
histogram,0,0,batch=16;layer=0;expert=93,51,instrumented
histogram,0,0,batch=16;layer=0;expert=94,121,instrumented
histogram,0,0,batch=16;layer=0;expert=95,27,instrumented
histogram,0,0,batch=16;layer=0;expert=96,15,instrumented
histogram,0,0,batch=16;layer=0;expert=97,93,instrumented
histogram,0,0,batch=16;layer=0;expert=98,87,instrumented
histogram,0,0,batch=16;layer=0;expert=99,45,instrumented
histogram,0,0,batch=16;layer=0;expert=100,44,instrumented
histogram,0,0,batch=16;layer=0;expert=101,27,instrumented
histogram,0,0,batch=16;layer=0;expert=102,57,instrumented
histogram,0,0,batch=16;layer=0;expert=103,191,instrumented
histogram,0,0,batch=16;layer=0;expert=104,33,instrumented
histogram,0,0,batch=16;layer=0;expert=105,97,instrumented
histogram,0,0,batch=16;layer=0;expert=106,29,instrumented
histogram,0,0,batch=16;layer=0;expert=107,35,instrumented
histogram,0,0,batch=16;layer=0;expert=108,69,instrumented
histogram,0,0,batch=16;layer=0;expert=109,97,instrumented
histogram,0,0,batch=16;layer=0;expert=110,22,instrumented
histogram,0,0,batch=16;layer=0;expert=111,204,instrumented
histogram,0,0,batch=16;layer=0;expert=112,67,instrumented
histogram,0,0,batch=16;layer=0;expert=113,0,instrumented
histogram,0,0,batch=16;layer=0;expert=114,93,instrumented
histogram,0,0,batch=16;layer=0;expert=115,44,instrumented
histogram,0,0,batch=16;layer=0;expert=116,86,instrumented
histogram,0,0,batch=16;layer=0;expert=117,232,instrumented
histogram,0,0,batch=16;layer=0;expert=118,148,instrumented
histogram,0,0,batch=16;layer=0;expert=119,113,instrumented
histogram,0,0,batch=16;layer=0;expert=120,37,instrumented
histogram,0,0,batch=16;layer=0;expert=121,81,instrumented
histogram,0,0,batch=16;layer=0;expert=122,26,instrumented
histogram,0,0,batch=16;layer=0;expert=123,87,instrumented
histogram,0,0,batch=16;layer=0;expert=124,4,instrumented
histogram,0,0,batch=16;layer=0;expert=125,42,instrumented
histogram,0,0,batch=16;layer=0;expert=126,122,instrumented
histogram,0,0,batch=16;layer=0;expert=127,189,instrumented
histogram,0,0,batch=16;layer=0;expert=128,31,instrumented
histogram,0,0,batch=16;layer=0;expert=129,57,instrumented
histogram,0,0,batch=16;layer=0;expert=130,39,instrumented
histogram,0,0,batch=16;layer=0;expert=131,120,instrumented
histogram,0,0,batch=16;layer=0;expert=132,57,instrumented
histogram,0,0,batch=16;layer=0;expert=133,200,instrumented
histogram,0,0,batch=16;layer=0;expert=134,36,instrumented
histogram,0,0,batch=16;layer=0;expert=135,16,instrumented
histogram,0,0,batch=16;layer=0;expert=136,255,instrumented
histogram,0,0,batch=16;layer=0;expert=137,137,instrumented
histogram,0,0,batch=16;layer=0;expert=138,38,instrumented
histogram,0,0,batch=16;layer=0;expert=139,127,instrumented
histogram,0,0,batch=16;layer=0;expert=140,289,instrumented
histogram,0,0,batch=16;layer=0;expert=141,256,instrumented
histogram,0,0,batch=16;layer=0;expert=142,129,instrumented
histogram,0,0,batch=16;layer=0;expert=143,60,instrumented
histogram,0,0,batch=16;layer=0;expert=144,29,instrumented
histogram,0,0,batch=16;layer=0;expert=145,132,instrumented
histogram,0,0,batch=16;layer=0;expert=146,55,instrumented
histogram,0,0,batch=16;layer=0;expert=147,125,instrumented
histogram,0,0,batch=16;layer=0;expert=148,118,instrumented
histogram,0,0,batch=16;layer=0;expert=149,24,instrumented
histogram,0,0,batch=16;layer=0;expert=150,32,instrumented
histogram,0,0,batch=16;layer=0;expert=151,16,instrumented
histogram,0,0,batch=16;layer=0;expert=152,55,instrumented
histogram,0,0,batch=16;layer=0;expert=153,155,instrumented
histogram,0,0,batch=16;layer=0;expert=154,28,instrumented
histogram,0,0,batch=16;layer=0;expert=155,138,instrumented
histogram,0,0,batch=16;layer=0;expert=156,52,instrumented
histogram,0,0,batch=16;layer=0;expert=157,225,instrumented
histogram,0,0,batch=16;layer=0;expert=158,26,instrumented
histogram,0,0,batch=16;layer=0;expert=159,165,instrumented
histogram,0,0,batch=16;layer=0;expert=160,40,instrumented
histogram,0,0,batch=16;layer=0;expert=161,83,instrumented
histogram,0,0,batch=16;layer=0;expert=162,58,instrumented
histogram,0,0,batch=16;layer=0;expert=163,80,instrumented
histogram,0,0,batch=16;layer=0;expert=164,30,instrumented
histogram,0,0,batch=16;layer=0;expert=165,100,instrumented
histogram,0,0,batch=16;layer=0;expert=166,24,instrumented
histogram,0,0,batch=16;layer=0;expert=167,49,instrumented
histogram,0,0,batch=16;layer=0;expert=168,112,instrumented
histogram,0,0,batch=16;layer=0;expert=169,76,instrumented
histogram,0,0,batch=16;layer=0;expert=170,0,instrumented
