record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,40.99213314300869,complete
repetition,,0,generated_tokens,8192,complete
repetition,,0,sample_tokens_s,199.84322287939207,complete
repetition,,1,elapsed_s,40.00148427998647,complete
repetition,,1,generated_tokens,8192,complete
repetition,,1,sample_tokens_s,204.79240076845394,complete
repetition,,2,elapsed_s,39.903286268003285,complete
repetition,,2,generated_tokens,8192,complete
repetition,,2,sample_tokens_s,205.296374463494,complete
local-pool,0,0,resident_hits,,instrumented
local-pool,0,0,cache_hits,,instrumented
local-pool,0,0,unique_misses,,instrumented
local-pool,0,0,unique_demands,,instrumented
local-pool,0,0,first_loads,,instrumented
local-pool,0,0,reloads,,instrumented
local-pool,0,0,loaded_bytes,,instrumented
local-pool,0,0,metadata_bytes,,instrumented
local-pool,0,0,promotion_bytes,,instrumented
local-pool,0,0,evictions,,instrumented
local-pool,0,0,bypasses,,instrumented
local-pool,0,0,load_s,,instrumented
local-pool,0,0,payload_s,,instrumented
local-pool,0,0,metadata_s,,instrumented
local-pool,0,0,compute_s,,instrumented
local-pool,0,0,promotion_s,,instrumented
local-pool,0,0,span_s,,instrumented
local-pool,0,0,route_d2h_s,,instrumented
local-pool,0,0,policy_cpu_s,,instrumented
local-pool,0,0,host_reuse_wait_s,,instrumented
local-pool,0,0,host_gather_s,,instrumented
local-pool,0,0,h2d_enqueue_s,,instrumented
local-pool,0,0,compute_enqueue_s,,instrumented
histogram,0,0,batch=16;layer=0;expert=0,59,instrumented
histogram,0,0,batch=16;layer=0;expert=1,16,instrumented
histogram,0,0,batch=16;layer=0;expert=2,20,instrumented
histogram,0,0,batch=16;layer=0;expert=3,131,instrumented
histogram,0,0,batch=16;layer=0;expert=4,104,instrumented
histogram,0,0,batch=16;layer=0;expert=5,218,instrumented
histogram,0,0,batch=16;layer=0;expert=6,99,instrumented
histogram,0,0,batch=16;layer=0;expert=7,188,instrumented
histogram,0,0,batch=16;layer=0;expert=8,39,instrumented
histogram,0,0,batch=16;layer=0;expert=9,0,instrumented
histogram,0,0,batch=16;layer=0;expert=10,39,instrumented
histogram,0,0,batch=16;layer=0;expert=11,86,instrumented
histogram,0,0,batch=16;layer=0;expert=12,100,instrumented
histogram,0,0,batch=16;layer=0;expert=13,60,instrumented
histogram,0,0,batch=16;layer=0;expert=14,40,instrumented
histogram,0,0,batch=16;layer=0;expert=15,57,instrumented
histogram,0,0,batch=16;layer=0;expert=16,32,instrumented
histogram,0,0,batch=16;layer=0;expert=17,111,instrumented
histogram,0,0,batch=16;layer=0;expert=18,38,instrumented
histogram,0,0,batch=16;layer=0;expert=19,15,instrumented
histogram,0,0,batch=16;layer=0;expert=20,160,instrumented
histogram,0,0,batch=16;layer=0;expert=21,65,instrumented
histogram,0,0,batch=16;layer=0;expert=22,99,instrumented
histogram,0,0,batch=16;layer=0;expert=23,94,instrumented
histogram,0,0,batch=16;layer=0;expert=24,17,instrumented
histogram,0,0,batch=16;layer=0;expert=25,9,instrumented
histogram,0,0,batch=16;layer=0;expert=26,110,instrumented
histogram,0,0,batch=16;layer=0;expert=27,39,instrumented
histogram,0,0,batch=16;layer=0;expert=28,88,instrumented
