record_index,metric,value
0,analyses[1].transport.per_rank[2].loaded_bytes,3011197796352
0,analyses[1].transport.per_rank[2].copy_count,228022
0,analyses[1].transport.per_rank[2].total_service_s,118.85802308190614
0,analyses[1].transport.per_rank[2].effective_bandwidth_bytes_s,25334409224.331085
0,analyses[1].transport.per_rank[3].rank,3
0,analyses[1].transport.per_rank[3].loaded_bytes,3011197796352
0,analyses[1].transport.per_rank[3].copy_count,228022
0,analyses[1].transport.per_rank[3].total_service_s,110.48376680072397
0,analyses[1].transport.per_rank[3].effective_bandwidth_bytes_s,27254662685.272137
0,analyses[1].transport.bottleneck_rank,2
0,analyses[1].transport.optimistic_resource_service_s,118.85802308190614
0,analyses[1].transport.serial_layer_barrier_service_s,120.04701172327623
0,analyses[1].transport.service_metric,median-measured-wall-s-per-exact-chunk
0,analyses[1].transport.chunk_rule,largest-first-exact-decomposition-with-backtracking
0,analyses[1].bandwidth_requirements_bytes_s[0],64321347667.85406
0,analyses[1].bandwidth_requirements_bytes_s[1],64321347667.85406
0,analyses[1].bandwidth_requirements_bytes_s[2],64321347667.85406
0,analyses[1].bandwidth_requirements_bytes_s[3],64321347667.85406
0,analyses[1].predictions.serial_layer_barrier.elapsed_s,167.27617014804855
0,analyses[1].predictions.serial_layer_barrier.throughput_tps,783.5664810115758
0,analyses[1].predictions.optimistic_full_overlap.elapsed_s,118.85802308190614
0,analyses[1].predictions.optimistic_full_overlap.throughput_tps,1102.761064010606
0,analyses[1].predictions.throughput_range_tps[0],783.5664810115758
0,analyses[1].predictions.throughput_range_tps[1],1102.761064010606
0,analyses[1].assumptions[0],diagnostic-model-not-deployment-measurement
0,analyses[1].assumptions[1],full-overlap-is-optimistic-and-not-a-hardware-bound
0,analyses[1].assumptions[2],kv-reference-engine-policy-differs
0,analyses[1].assumptions[3],kv-reference-utilization-differs
0,analyses[1].assumptions[4],no-rank-bandwidth-aggregation
0,analyses[1].assumptions[5],serial-layer-barrier-is-a-modelling-scenario-not-a-hardware-bound
0,analyses[1].assumptions[6],trace-engine-policy-differs
0,analyses[1].unpublished_reason_count,0
0,analyses[2].artifact_kind,feasibility-analysis
0,analyses[2].status,model-no-headroom
0,analyses[2].candidate_class,neither-profitable
0,analyses[2].baseline.median_elapsed_s,46.814905245788395
0,analyses[2].baseline.throughput_tps,2799.792060068126
0,analyses[2].baseline.source_kind,native-measured
0,analyses[2].baseline.engine_mode,native
0,analyses[2].kv_reference.median_elapsed_s,47.22915842477232
0,analyses[2].kv_reference.throughput_tps,2775.2347145624976
0,analyses[2].kv_reference.source_kind,native-measured
0,analyses[2].kv_reference.engine_mode,native
0,analyses[2].kv_reference.gpu_memory_utilization,0.915
0,analyses[2].kv_reference.engine_policy_sha256,d3f4745a0edd6083673b5cf581859d9c1de64570238ea2f5f2a4223b3340fb10
0,analyses[2].actual_kv_increment_bytes_by_rank[0],1276772352
0,analyses[2].actual_kv_increment_bytes_by_rank[1],1276772352
