record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,46.16005701301037,complete
repetition,,0,generated_tokens,102400,complete
repetition,,0,sample_tokens_s,2218.368143937478,complete
repetition,,1,elapsed_s,47.12542678799946,complete
repetition,,1,generated_tokens,102400,complete
repetition,,1,sample_tokens_s,2172.9246179702773,complete
repetition,,2,elapsed_s,48.424955677008256,complete
repetition,,2,generated_tokens,102400,complete
repetition,,2,sample_tokens_s,2114.6121574793433,complete
local-pool,0,0,resident_hits,,instrumented
local-pool,0,0,cache_hits,,instrumented
local-pool,0,0,unique_misses,,instrumented
local-pool,0,0,unique_demands,,instrumented
local-pool,0,0,first_loads,,instrumented
local-pool,0,0,reloads,,instrumented
local-pool,0,0,loaded_bytes,,instrumented
local-pool,0,0,metadata_bytes,,instrumented
local-pool,0,0,promotion_bytes,,instrumented
local-pool,0,0,evictions,,instrumented
local-pool,0,0,bypasses,,instrumented
local-pool,0,0,load_s,,instrumented
local-pool,0,0,payload_s,,instrumented
local-pool,0,0,metadata_s,,instrumented
local-pool,0,0,compute_s,,instrumented
local-pool,0,0,promotion_s,,instrumented
local-pool,0,0,span_s,,instrumented
local-pool,0,0,route_d2h_s,,instrumented
local-pool,0,0,policy_cpu_s,,instrumented
local-pool,0,0,host_reuse_wait_s,,instrumented
local-pool,0,0,host_gather_s,,instrumented
local-pool,0,0,h2d_enqueue_s,,instrumented
local-pool,0,0,compute_enqueue_s,,instrumented
histogram,0,0,batch=200;layer=0;expert=0,975,instrumented
histogram,0,0,batch=200;layer=0;expert=1,636,instrumented
histogram,0,0,batch=200;layer=0;expert=2,541,instrumented
histogram,0,0,batch=200;layer=0;expert=3,790,instrumented
histogram,0,0,batch=200;layer=0;expert=4,1214,instrumented
histogram,0,0,batch=200;layer=0;expert=5,1777,instrumented
histogram,0,0,batch=200;layer=0;expert=6,1473,instrumented
histogram,0,0,batch=200;layer=0;expert=7,1740,instrumented
histogram,0,0,batch=200;layer=0;expert=8,439,instrumented
histogram,0,0,batch=200;layer=0;expert=9,15,instrumented
histogram,0,0,batch=200;layer=0;expert=10,635,instrumented
histogram,0,0,batch=200;layer=0;expert=11,944,instrumented
histogram,0,0,batch=200;layer=0;expert=12,1251,instrumented
histogram,0,0,batch=200;layer=0;expert=13,698,instrumented
histogram,0,0,batch=200;layer=0;expert=14,823,instrumented
histogram,0,0,batch=200;layer=0;expert=15,1165,instrumented
histogram,0,0,batch=200;layer=0;expert=16,328,instrumented
histogram,0,0,batch=200;layer=0;expert=17,1740,instrumented
histogram,0,0,batch=200;layer=0;expert=18,794,instrumented
histogram,0,0,batch=200;layer=0;expert=19,517,instrumented
histogram,0,0,batch=200;layer=0;expert=20,1669,instrumented
histogram,0,0,batch=200;layer=0;expert=21,1333,instrumented
histogram,0,0,batch=200;layer=0;expert=22,1322,instrumented
histogram,0,0,batch=200;layer=0;expert=23,1073,instrumented
histogram,0,0,batch=200;layer=0;expert=24,275,instrumented
histogram,0,0,batch=200;layer=0;expert=25,124,instrumented
histogram,0,0,batch=200;layer=0;expert=26,816,instrumented
histogram,0,0,batch=200;layer=0;expert=27,622,instrumented
histogram,0,0,batch=200;layer=0;expert=28,1104,instrumented
histogram,0,0,batch=200;layer=0;expert=29,2023,instrumented
histogram,0,0,batch=200;layer=0;expert=30,1378,instrumented
histogram,0,0,batch=200;layer=0;expert=31,998,instrumented
histogram,0,0,batch=200;layer=0;expert=32,1148,instrumented
histogram,0,0,batch=200;layer=0;expert=33,200,instrumented
histogram,0,0,batch=200;layer=0;expert=34,897,instrumented
histogram,0,0,batch=200;layer=0;expert=35,1331,instrumented
histogram,0,0,batch=200;layer=0;expert=36,1000,instrumented
histogram,0,0,batch=200;layer=0;expert=37,1288,instrumented
histogram,0,0,batch=200;layer=0;expert=38,1510,instrumented
histogram,0,0,batch=200;layer=0;expert=39,1049,instrumented
histogram,0,0,batch=200;layer=0;expert=40,1409,instrumented
histogram,0,0,batch=200;layer=0;expert=41,955,instrumented
histogram,0,0,batch=200;layer=0;expert=42,998,instrumented
histogram,0,0,batch=200;layer=0;expert=43,1182,instrumented
histogram,0,0,batch=200;layer=0;expert=44,1500,instrumented
histogram,0,0,batch=200;layer=0;expert=45,1090,instrumented
histogram,0,0,batch=200;layer=0;expert=46,434,instrumented
histogram,0,0,batch=200;layer=0;expert=47,354,instrumented
histogram,0,0,batch=200;layer=0;expert=48,576,instrumented
histogram,0,0,batch=200;layer=0;expert=49,2023,instrumented
histogram,0,0,batch=200;layer=0;expert=50,1211,instrumented
histogram,0,0,batch=200;layer=0;expert=51,582,instrumented
histogram,0,0,batch=200;layer=0;expert=52,1576,instrumented
histogram,0,0,batch=200;layer=0;expert=53,1762,instrumented
histogram,0,0,batch=200;layer=0;expert=54,1581,instrumented
histogram,0,0,batch=200;layer=0;expert=55,1430,instrumented
histogram,0,0,batch=200;layer=0;expert=56,1209,instrumented
histogram,0,0,batch=200;layer=0;expert=57,132,instrumented
histogram,0,0,batch=200;layer=0;expert=58,1547,instrumented
histogram,0,0,batch=200;layer=0;expert=59,571,instrumented
histogram,0,0,batch=200;layer=0;expert=60,626,instrumented
histogram,0,0,batch=200;layer=0;expert=61,607,instrumented
histogram,0,0,batch=200;layer=0;expert=62,648,instrumented
histogram,0,0,batch=200;layer=0;expert=63,631,instrumented
histogram,0,0,batch=200;layer=0;expert=64,797,instrumented
histogram,0,0,batch=200;layer=0;expert=65,1593,instrumented
histogram,0,0,batch=200;layer=0;expert=66,1197,instrumented
histogram,0,0,batch=200;layer=0;expert=67,693,instrumented
histogram,0,0,batch=200;layer=0;expert=68,1260,instrumented
histogram,0,0,batch=200;layer=0;expert=69,299,instrumented
histogram,0,0,batch=200;layer=0;expert=70,1064,instrumented
histogram,0,0,batch=200;layer=0;expert=71,587,instrumented
histogram,0,0,batch=200;layer=0;expert=72,1810,instrumented
histogram,0,0,batch=200;layer=0;expert=73,534,instrumented
histogram,0,0,batch=200;layer=0;expert=74,1605,instrumented
histogram,0,0,batch=200;layer=0;expert=75,1408,instrumented
histogram,0,0,batch=200;layer=0;expert=76,1323,instrumented
histogram,0,0,batch=200;layer=0;expert=77,1939,instrumented
histogram,0,0,batch=200;layer=0;expert=78,27,instrumented
histogram,0,0,batch=200;layer=0;expert=79,43,instrumented
