run_id,field,value
01-resident,final_memory[0].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[0].kv_cache_declared_bytes,8980856832
01-resident,final_memory[0].num_gpu_blocks,2687
01-resident,final_memory[0].kv_cache_accounting_consistent,True
01-resident,final_memory[1].rank,1
01-resident,final_memory[1].total_gpu_bytes,85017493504
01-resident,final_memory[1].free_gpu_bytes,29983047680
01-resident,final_memory[1].torch_allocated_bytes,49011074560
01-resident,final_memory[1].torch_reserved_bytes,49977229312
01-resident,final_memory[1].torch_peak_allocated_bytes,49578562560
01-resident,final_memory[1].torch_peak_reserved_bytes,49977229312
01-resident,final_memory[1].available_kv_cache_bytes,
01-resident,final_memory[1].model_memory_bytes,39959379968
01-resident,final_memory[1].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[1].kv_cache_declared_bytes,8980856832
01-resident,final_memory[1].num_gpu_blocks,2687
01-resident,final_memory[1].kv_cache_accounting_consistent,True
01-resident,final_memory[2].rank,2
01-resident,final_memory[2].total_gpu_bytes,85017493504
01-resident,final_memory[2].free_gpu_bytes,29983047680
01-resident,final_memory[2].torch_allocated_bytes,49011074560
01-resident,final_memory[2].torch_reserved_bytes,49977229312
01-resident,final_memory[2].torch_peak_allocated_bytes,49578562560
01-resident,final_memory[2].torch_peak_reserved_bytes,49977229312
01-resident,final_memory[2].available_kv_cache_bytes,
01-resident,final_memory[2].model_memory_bytes,39959379968
01-resident,final_memory[2].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[2].kv_cache_declared_bytes,8980856832
01-resident,final_memory[2].num_gpu_blocks,2687
01-resident,final_memory[2].kv_cache_accounting_consistent,True
01-resident,final_memory[3].rank,3
01-resident,final_memory[3].total_gpu_bytes,85017493504
01-resident,final_memory[3].free_gpu_bytes,29983047680
01-resident,final_memory[3].torch_allocated_bytes,49011074560
01-resident,final_memory[3].torch_reserved_bytes,49977229312
01-resident,final_memory[3].torch_peak_allocated_bytes,49578562560
01-resident,final_memory[3].torch_peak_reserved_bytes,49977229312
01-resident,final_memory[3].available_kv_cache_bytes,
01-resident,final_memory[3].model_memory_bytes,39959379968
01-resident,final_memory[3].kv_cache_allocated_bytes,8980856832
01-resident,final_memory[3].kv_cache_declared_bytes,8980856832
01-resident,final_memory[3].num_gpu_blocks,2687
01-resident,final_memory[3].kv_cache_accounting_consistent,True
01-resident,hardware_budget.total_gpu_bytes_by_rank[0],85017493504
01-resident,hardware_budget.total_gpu_bytes_by_rank[1],85017493504
01-resident,hardware_budget.total_gpu_bytes_by_rank[2],85017493504
01-resident,hardware_budget.total_gpu_bytes_by_rank[3],85017493504
01-resident,hardware_budget.requested_gpu_bytes_by_rank[0],51010496102
01-resident,hardware_budget.requested_gpu_bytes_by_rank[1],51010496102
01-resident,hardware_budget.requested_gpu_bytes_by_rank[2],51010496102
01-resident,hardware_budget.requested_gpu_bytes_by_rank[3],51010496102
01-resident,smoke.elapsed_s,14.649624284822494
01-resident,smoke.generated_tokens,8
01-resident,smoke.request_count,1
01-resident,smoke.output_tokens_per_second,0.5460890903726637
01-resident,smoke.latency_available_requests,0
01-resident,smoke.ttft_available_requests,0
01-resident,smoke.ttft_median_s,
01-resident,smoke.request_latency_median_s,
01-resident,smoke.input_sha256,8f63bdbc6e4ba404b90c7517bb32e8ab02871aca0ff010fdcf90ce8de5a5a7be
01-resident,smoke.output_sha256,aca6a96d6190b30731841211aa6dc44913c8f1995ea7500945641e467c508c32
01-resident,repetitions[0].repetition,0
01-resident,repetitions[0].elapsed_s,8.006163274869323
01-resident,repetitions[0].generated_tokens,2048
01-resident,repetitions[0].request_count,32
01-resident,repetitions[0].output_tokens_per_second,255.8029270310413
01-resident,repetitions[0].latency_available_requests,0
01-resident,repetitions[0].ttft_available_requests,0
01-resident,repetitions[0].ttft_median_s,
01-resident,repetitions[0].request_latency_median_s,
01-resident,repetitions[0].output_sha256,cca875f9ecf0705a41d2979b11c58941660aa500c2c73e40f26e51aec6a503db
01-resident,repetitions[0].timing_available,False
01-resident,repetitions[0].diagnostics.h2d_bytes,0
01-resident,repetitions[0].diagnostics.copy_launches,0
01-resident,repetitions[0].diagnostics.startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.unique_demands,0
01-resident,repetitions[0].diagnostics.resident_hits,0
01-resident,repetitions[0].diagnostics.timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.policy.observations,0
01-resident,repetitions[0].diagnostics.policy.unique_demands,0
01-resident,repetitions[0].diagnostics.policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.policy.decay_events,0
01-resident,repetitions[0].diagnostics.policy.cache_hits,0
01-resident,repetitions[0].diagnostics.policy.cache_misses,0
01-resident,repetitions[0].diagnostics.policy.admissions,0
01-resident,repetitions[0].diagnostics.policy.evictions,0
01-resident,repetitions[0].diagnostics.policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[0].h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].copy_launches,0
01-resident,repetitions[0].diagnostics.per_rank[0].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[0].unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[0].resident_hits,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.observations,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.decay_events,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.cache_hits,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.cache_misses,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.admissions,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.evictions,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.per_rank[0].policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[0].rank,0
01-resident,repetitions[0].diagnostics.per_rank[1].h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[1].copy_launches,0
01-resident,repetitions[0].diagnostics.per_rank[1].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[1].promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[1].metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[1].unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[1].resident_hits,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.observations,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.decay_events,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.cache_hits,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.cache_misses,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.admissions,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.evictions,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.per_rank[1].policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[1].rank,1
01-resident,repetitions[0].diagnostics.per_rank[2].h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[2].copy_launches,0
01-resident,repetitions[0].diagnostics.per_rank[2].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[2].promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[2].metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[2].unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[2].resident_hits,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.observations,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.decay_events,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.cache_hits,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.cache_misses,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.admissions,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.evictions,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.per_rank[2].policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[2].rank,2
01-resident,repetitions[0].diagnostics.per_rank[3].h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[3].copy_launches,0
01-resident,repetitions[0].diagnostics.per_rank[3].startup_resident_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[3].promotion_d2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[3].metadata_h2d_bytes,0
01-resident,repetitions[0].diagnostics.per_rank[3].unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[3].resident_hits,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.route_d2h_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.policy_cpu_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.host_reuse_wait_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.host_gather_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.h2d_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.compute_enqueue_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.cuda_sample_count,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.load_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.compute_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].timing.promotion_cuda_s,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.observations,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.unique_demands,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.completed_forwards,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.decay_events,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.cache_hits,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.cache_misses,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.admissions,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.evictions,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.cache_bypasses,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.reconfigurations,0
01-resident,repetitions[0].diagnostics.per_rank[3].policy.cache_hit_ratio,
01-resident,repetitions[0].diagnostics.per_rank[3].rank,3
01-resident,repetitions[0].memory[0].rank,0
01-resident,repetitions[0].memory[0].total_gpu_bytes,85017493504
