run_id,storage_backend,arm,status,throughput_median,throughput_min,throughput_max,kv_bytes_total
01-resident,native,resident,complete,1260.3676045868426,1258.9583790558943,1261.344497010809,35883319296
02-partial-fixed-kv,expert-cache,partial-fixed-kv,failed,,,,35883319296
