record_index,metric,value
1,memory[0].kv_cache_declared_bytes,34750267392
1,memory[0].num_gpu_blocks,10397
1,memory[0].rank,0
1,memory[0].torch_allocated_bytes,74839426560
1,memory[0].torch_peak_allocated_bytes,75124360192
1,memory[0].torch_peak_reserved_bytes,75398905856
1,memory[0].torch_reserved_bytes,75398905856
1,memory[0].total_gpu_bytes,85017493504
1,memory[1].free_gpu_bytes,4316004352
1,memory[1].kv_cache_accounting_consistent,True
1,memory[1].kv_cache_allocated_bytes,34750267392
1,memory[1].kv_cache_declared_bytes,34750267392
1,memory[1].num_gpu_blocks,10397
1,memory[1].rank,1
1,memory[1].torch_allocated_bytes,74839426560
1,memory[1].torch_peak_allocated_bytes,75124360192
1,memory[1].torch_peak_reserved_bytes,75398905856
1,memory[1].torch_reserved_bytes,75398905856
1,memory[1].total_gpu_bytes,85017493504
1,memory[2].free_gpu_bytes,4316004352
1,memory[2].kv_cache_accounting_consistent,True
1,memory[2].kv_cache_allocated_bytes,34750267392
1,memory[2].kv_cache_declared_bytes,34750267392
1,memory[2].num_gpu_blocks,10397
1,memory[2].rank,2
1,memory[2].torch_allocated_bytes,74839426560
1,memory[2].torch_peak_allocated_bytes,75124360192
1,memory[2].torch_peak_reserved_bytes,75398905856
1,memory[2].torch_reserved_bytes,75398905856
1,memory[2].total_gpu_bytes,85017493504
1,memory[3].free_gpu_bytes,4316004352
1,memory[3].kv_cache_accounting_consistent,True
1,memory[3].kv_cache_allocated_bytes,34750267392
1,memory[3].kv_cache_declared_bytes,34750267392
1,memory[3].num_gpu_blocks,10397
1,memory[3].rank,3
1,memory[3].torch_allocated_bytes,74839426560
1,memory[3].torch_peak_allocated_bytes,75124360192
1,memory[3].torch_peak_reserved_bytes,75398905856
1,memory[3].torch_reserved_bytes,75398905856
1,memory[3].total_gpu_bytes,85017493504
1,output_tokens_per_second,3560.956531750227
1,repetition,1
1,request_count,64
1,timing_eligible,True
1,artifact_kind,analysis-repetition
2,record_index,2
2,elapsed_s,37.27004535822198
2,generated_tokens,131072
2,memory[0].free_gpu_bytes,4316004352
2,memory[0].kv_cache_accounting_consistent,True
2,memory[0].kv_cache_allocated_bytes,34750267392
2,memory[0].kv_cache_declared_bytes,34750267392
2,memory[0].num_gpu_blocks,10397
2,memory[0].rank,0
2,memory[0].torch_allocated_bytes,74839426560
2,memory[0].torch_peak_allocated_bytes,75124360192
2,memory[0].torch_peak_reserved_bytes,75398905856
2,memory[0].torch_reserved_bytes,75398905856
2,memory[0].total_gpu_bytes,85017493504
2,memory[1].free_gpu_bytes,4316004352
2,memory[1].kv_cache_accounting_consistent,True
2,memory[1].kv_cache_allocated_bytes,34750267392
2,memory[1].kv_cache_declared_bytes,34750267392
2,memory[1].num_gpu_blocks,10397
2,memory[1].rank,1
2,memory[1].torch_allocated_bytes,74839426560
2,memory[1].torch_peak_allocated_bytes,75124360192
2,memory[1].torch_peak_reserved_bytes,75398905856
2,memory[1].torch_reserved_bytes,75398905856
2,memory[1].total_gpu_bytes,85017493504
2,memory[2].free_gpu_bytes,4316004352
2,memory[2].kv_cache_accounting_consistent,True
2,memory[2].kv_cache_allocated_bytes,34750267392
2,memory[2].kv_cache_declared_bytes,34750267392
2,memory[2].num_gpu_blocks,10397
2,memory[2].rank,2
2,memory[2].torch_allocated_bytes,74839426560
2,memory[2].torch_peak_allocated_bytes,75124360192
2,memory[2].torch_peak_reserved_bytes,75398905856
2,memory[2].torch_reserved_bytes,75398905856
2,memory[2].total_gpu_bytes,85017493504
2,memory[3].free_gpu_bytes,4316004352
2,memory[3].kv_cache_accounting_consistent,True
