record_index,metric,value
2,memory[3].torch_reserved_bytes,76913049600
2,memory[3].total_gpu_bytes,85017493504
2,output_tokens_per_second,2775.2347145624976
2,repetition,2
2,request_count,256
2,timing_eligible,True
2,artifact_kind,analysis-repetition
3,record_index,3
3,elapsed_s,16.30768166575581
3,generated_tokens,8
3,input_sha256,35cab39063c02de054fab846c35c0bab5b08987ec62125418dad8c1c23173583
3,output_tokens_per_second,0.4905663578655112
3,request_count,1
3,timing_eligible,True
3,artifact_kind,analysis-smoke
4,record_index,4
4,status,unreadable
4,artifact_kind,unknown
