record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,153.4046713729913,complete
repetition,,0,generated_tokens,512000,complete
repetition,,0,sample_tokens_s,3337.5776331811476,complete
repetition,,1,elapsed_s,76.51228926700423,complete
repetition,,1,generated_tokens,512000,complete
repetition,,1,sample_tokens_s,6691.735470275609,complete
repetition,,2,elapsed_s,76.13097852800274,complete
repetition,,2,generated_tokens,512000,complete
repetition,,2,sample_tokens_s,6725.251794992685,complete
local-pool,0,0,resident_hits,,instrumented
local-pool,0,0,cache_hits,,instrumented
local-pool,0,0,unique_misses,,instrumented
local-pool,0,0,unique_demands,,instrumented
local-pool,0,0,first_loads,,instrumented
local-pool,0,0,reloads,,instrumented
local-pool,0,0,loaded_bytes,,instrumented
local-pool,0,0,metadata_bytes,,instrumented
local-pool,0,0,promotion_bytes,,instrumented
local-pool,0,0,evictions,,instrumented
local-pool,0,0,bypasses,,instrumented
local-pool,0,0,load_s,,instrumented
local-pool,0,0,payload_s,,instrumented
local-pool,0,0,metadata_s,,instrumented
local-pool,0,0,compute_s,,instrumented
local-pool,0,0,promotion_s,,instrumented
local-pool,0,0,span_s,,instrumented
local-pool,0,0,route_d2h_s,,instrumented
local-pool,0,0,policy_cpu_s,,instrumented
local-pool,0,0,host_reuse_wait_s,,instrumented
local-pool,0,0,host_gather_s,,instrumented
local-pool,0,0,h2d_enqueue_s,,instrumented
local-pool,0,0,compute_enqueue_s,,instrumented
histogram,0,0,batch=1000;layer=0;expert=0,5160,instrumented
histogram,0,0,batch=1000;layer=0;expert=1,3614,instrumented
histogram,0,0,batch=1000;layer=0;expert=2,1574,instrumented
histogram,0,0,batch=1000;layer=0;expert=3,3326,instrumented
histogram,0,0,batch=1000;layer=0;expert=4,5847,instrumented
histogram,0,0,batch=1000;layer=0;expert=5,9272,instrumented
histogram,0,0,batch=1000;layer=0;expert=6,7487,instrumented
histogram,0,0,batch=1000;layer=0;expert=7,8865,instrumented
histogram,0,0,batch=1000;layer=0;expert=8,2336,instrumented
histogram,0,0,batch=1000;layer=0;expert=9,103,instrumented
histogram,0,0,batch=1000;layer=0;expert=10,3641,instrumented
histogram,0,0,batch=1000;layer=0;expert=11,4299,instrumented
histogram,0,0,batch=1000;layer=0;expert=12,5861,instrumented
histogram,0,0,batch=1000;layer=0;expert=13,3307,instrumented
histogram,0,0,batch=1000;layer=0;expert=14,4562,instrumented
histogram,0,0,batch=1000;layer=0;expert=15,5981,instrumented
histogram,0,0,batch=1000;layer=0;expert=16,1641,instrumented
