record,rank,repetition,metric,value,status
repetition,,0,elapsed_s,167.5089096419979,complete
repetition,,0,generated_tokens,512000,complete
repetition,,0,sample_tokens_s,3056.553834027412,complete
repetition,,1,elapsed_s,204.65147705801064,complete
repetition,,1,generated_tokens,512000,complete
repetition,,1,sample_tokens_s,2501.8143399711116,complete
repetition,,2,elapsed_s,166.1279329469835,complete
repetition,,2,generated_tokens,512000,complete
repetition,,2,sample_tokens_s,3081.9621415707065,complete
local-pool,0,0,resident_hits,,instrumented
local-pool,0,0,cache_hits,,instrumented
local-pool,0,0,unique_misses,,instrumented
local-pool,0,0,unique_demands,,instrumented
local-pool,0,0,first_loads,,instrumented
local-pool,0,0,reloads,,instrumented
local-pool,0,0,loaded_bytes,,instrumented
local-pool,0,0,metadata_bytes,,instrumented
local-pool,0,0,promotion_bytes,,instrumented
local-pool,0,0,evictions,,instrumented
local-pool,0,0,bypasses,,instrumented
local-pool,0,0,load_s,,instrumented
local-pool,0,0,payload_s,,instrumented
local-pool,0,0,metadata_s,,instrumented
local-pool,0,0,compute_s,,instrumented
local-pool,0,0,promotion_s,,instrumented
local-pool,0,0,span_s,,instrumented
local-pool,0,0,route_d2h_s,,instrumented
local-pool,0,0,policy_cpu_s,,instrumented
local-pool,0,0,host_reuse_wait_s,,instrumented
local-pool,0,0,host_gather_s,,instrumented
local-pool,0,0,h2d_enqueue_s,,instrumented
local-pool,0,0,compute_enqueue_s,,instrumented
local-pool,1,0,resident_hits,,instrumented
local-pool,1,0,cache_hits,,instrumented
local-pool,1,0,unique_misses,,instrumented
local-pool,1,0,unique_demands,,instrumented
local-pool,1,0,first_loads,,instrumented
local-pool,1,0,reloads,,instrumented
local-pool,1,0,loaded_bytes,,instrumented
local-pool,1,0,metadata_bytes,,instrumented
local-pool,1,0,promotion_bytes,,instrumented
local-pool,1,0,evictions,,instrumented
local-pool,1,0,bypasses,,instrumented
local-pool,1,0,load_s,,instrumented
local-pool,1,0,payload_s,,instrumented
local-pool,1,0,metadata_s,,instrumented
local-pool,1,0,compute_s,,instrumented
local-pool,1,0,promotion_s,,instrumented
local-pool,1,0,span_s,,instrumented
local-pool,1,0,route_d2h_s,,instrumented
local-pool,1,0,policy_cpu_s,,instrumented
local-pool,1,0,host_reuse_wait_s,,instrumented
local-pool,1,0,host_gather_s,,instrumented
local-pool,1,0,h2d_enqueue_s,,instrumented
local-pool,1,0,compute_enqueue_s,,instrumented
local-pool,2,0,resident_hits,,instrumented
local-pool,2,0,cache_hits,,instrumented
local-pool,2,0,unique_misses,,instrumented
local-pool,2,0,unique_demands,,instrumented
local-pool,2,0,first_loads,,instrumented
local-pool,2,0,reloads,,instrumented
local-pool,2,0,loaded_bytes,,instrumented
local-pool,2,0,metadata_bytes,,instrumented
local-pool,2,0,promotion_bytes,,instrumented
local-pool,2,0,evictions,,instrumented
local-pool,2,0,bypasses,,instrumented
local-pool,2,0,load_s,,instrumented
local-pool,2,0,payload_s,,instrumented
local-pool,2,0,metadata_s,,instrumented
local-pool,2,0,compute_s,,instrumented
local-pool,2,0,promotion_s,,instrumented
local-pool,2,0,span_s,,instrumented
local-pool,2,0,route_d2h_s,,instrumented
local-pool,2,0,policy_cpu_s,,instrumented
local-pool,2,0,host_reuse_wait_s,,instrumented
local-pool,2,0,host_gather_s,,instrumented
local-pool,2,0,h2d_enqueue_s,,instrumented
